2017-11-13 05:18:49 | -=< Temperature Logger Restart >=-
2017-11-13 19:57:48 | TEMPLOG : To   GeoLoop | 056.300
2017-11-13 19:58:50 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 19:59:51 | TEMPLOG : To   GeoLoop | 057.200
2017-11-13 20:00:52 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 20:00:52 | TEMPLOG : To   GeoLoop | 056.300
2017-11-13 20:00:52 | TEMPLOG : Table    One | 050.900
2017-11-13 20:12:01 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 20:16:05 | TEMPLOG : Table    One | 050.000
2017-11-13 20:19:09 | TEMPLOG : Table    One | 050.900
2017-11-13 20:20:10 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 20:20:10 | TEMPLOG : Table    One | 050.000
2017-11-13 20:22:12 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 20:35:24 | TEMPLOG : WellhouseOne | 047.300
2017-11-13 20:37:26 | TEMPLOG : To   GeoLoop | 055.400
2017-11-13 20:44:32 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 20:47:34 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 20:49:38 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 20:56:44 | TEMPLOG : Table    One | 049.100
2017-11-13 21:00:47 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 21:00:47 | TEMPLOG : To   GeoLoop | 055.400
2017-11-13 21:00:48 | TEMPLOG : Table    One | 049.100
2017-11-13 21:01:48 | TEMPLOG : Table    One | 050.000
2017-11-13 21:02:49 | TEMPLOG : Table    One | 049.100
2017-11-13 21:03:49 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 21:08:54 | TEMPLOG : WellhouseOne | 046.400
2017-11-13 21:09:56 | TEMPLOG : WellhouseOne | 045.500
2017-11-13 21:11:58 | TEMPLOG : WellhouseOne | 044.600
2017-11-13 21:17:02 | TEMPLOG : To   GeoLoop | 054.500
